raw: 温格的球队终于又踢了一场经典的比赛，2比1战胜曼联之后枪手仍然留在了夺冠集团之内，
畔 I-boo I-boo
》 I-boo I-boo
等 O O
亦 O O
属 O O
市 O O
场 O O
难 O O
得 O O
一 O O
见 O O
的 O O
西 O O
方 O O
当 O O
代 O O
大 B-pos O
师 I-pos O
作 O O
品 O O
。 O O


raw: 昨天，巴南区法院公布了这起案例。“台湾富商”因诈骗罪和盗窃罪数罪并罚判刑7年6个月。
sen pred gold
昨 O O
天 O O
， O O
巴 B-gov B-gov
南 I-gov I-gov
区 I-gov I-gov
法 I-gov I-gov
院 I-gov I-gov
公 O O
布 O O
了 O O
这 O O
起 O O
案 O O
例 O O
。 O O
[UNK] O O
台 O B-add
湾 O I-add
富 O O
商 O O
[UNK] O O
因 O O
诈 O O
骗 O O
罪 O O
和 O O
盗 O O
窃 O O
罪 O O
数 O O
罪 O O
并 O O
罚 O O
判 O O
刑 O O
7 O O
年 O O
6 O O
个 O O
月 O O
。 O O


raw: 我们荣幸地邀请索维娅国际艺术村的艺术总监许俊杰先生为大家解答一下。
sen pred gold
我 O O
们 O O
荣 O O
幸 O O
地 O O
邀 O O
请 O O
索 B-com O
维 I-com B-add
娅 I-com I-add
国 I-com I-add
际 I-com I-add
艺 I-com I-add
术 I-com I-add
村 I-com I-add
的 O O
艺 B-pos O
术 I-pos O
总 I-pos B-pos
监 I-pos I-pos
许 B-nam B-nam
俊 I-nam I-nam
杰 I-nam I-nam
先 O O
生 O O
为 O O
大 O O
家 O O
解 O O
答 O O
一 O O
下 O O
。 O O


raw: 我们组织了国内城镇人居环境领域的权威专家对人居环境评估体系进行编制，并与内蒙古乌审旗政府、
sen pred gold
我 O O
们 O O
组 O O
织 O O
了 O O
国 O O
内 O O
城 O O
镇 O O
人 O O
居 O O
环 O O
境 O O
领 O O
域 O O
的 O O
权 O B-pos
威 O I-pos
专 B-pos I-pos
家 I-pos I-pos
对 O O
人 O O
居 O O
环 O O
境 O O
评 O O
估 O O
体 O O
系 O O
进 O O
行 O O
编 O O
制 O O
， O O
并 O O
与 O O
内 B-gov B-gov
蒙 I-gov I-gov
古 I-gov I-gov
乌 I-gov I-gov
审 I-gov I-gov
旗 I-gov I-gov
政 I-gov I-gov
府 I-gov I-gov
、 O O


raw: 一改本岛电影在票房上持续低迷的成绩，而与此同时的几部“台湾制造”《?男孩》、《花吃了那女孩》
sen pred gold
一 O O
改 O O
本 O O
岛 O O
电 O O
影 O O
在 O O
票 O O
房 O O
上 O O
持 O O
续 O O
低 O O
迷 O O
的 O O
成 O O
绩 O O
， O O
而 O O
与 O O
此 O O
同 O O
时 O O
的 O O
几 O O
部 O O
[UNK] O O
台 O B-add
湾 O I-add
制 O O
造 O O
[UNK] O O
《 B-mov B-mov
? I-mov I-mov
男 I-mov I-mov
孩 I-mov I-mov
》 I-mov I-mov
、 O O
《 B-mov B-mov
花 I-mov I-mov
吃 I-mov I-mov
了 I-mov I-mov
那 I-mov I-mov
女 I-mov I-mov
孩 I-mov I-mov
》 I-mov I-mov


raw: 除上述巡逻机外，第二批部队还有约150名自卫队员，分别来自海上自卫队和陆上自卫队。部队抵达目的地后，
sen pred gold
除 O O
上 O O
述 O O
巡 O O
逻 O O
机 O O
外 O O
， O O
第 O O
二 O O
批 O O
部 B-gov B-gov
队 I-gov I-gov
还 O O
有 O O
约 O O
1 O O
5 O O
0 O O
名 O O
自 B-gov B-pos
卫 I-gov I-pos
队 I-gov I-pos
员 O I-pos
， O O
分 O O
别 O O
来 O O
自 O O
海 B-gov B-gov
上 I-gov I-gov
自 I-gov I-gov
卫 I-gov I-gov
队 I-gov I-gov
和 O O
陆 B-gov B-gov
上 I-gov I-gov
自 I-gov I-gov
卫 I-gov I-gov
队 I-gov I-gov
。 O O
部 O B-gov
队 O I-gov
抵 O O
达 O O
目 O O
的 O O
地 O O
后 O O
， O O


raw: 进一步加强香港人民币市场平台的地位和作用。香港金管局指出，这是香港发展离岸人民币业务一个新的里程碑。
sen pred gold
进 O O
一 O O
步 O O
加 O O
强 O O
香 O B-add
港 O I-add
人 O O
民 O O
币 O O
市 O O
场 O O
平 O O
台 O O
的 O O
地 O O
位 O O
和 O O
作 O O
用 O O
。 O O
香 B-gov B-gov
港 I-gov I-gov
金 I-gov I-gov
管 I-gov I-gov
局 I-gov I-gov
指 O O
出 O O
， O O
这 O O
是 O O
香 B-add B-add
港 I-add I-add
发 O O
展 O O
离 O O
岸 O O
人 O O
民 O O
币 O O
业 O O
务 O O
一 O O
个 O O
新 O O
的 O O
里 O O
程 O O
碑 O O
。 O O


raw: 拍摄时出现事故，这在不少影片的拍摄过程里都曾经出现过，包括前不久的最新一集“007铁金刚”，
sen pred gold
拍 O O
摄 O O
时 O O
出 O O
现 O O
事 O O
故 O O
， O O
这 O O
在 O O
不 O O
少 O O
影 O O
片 O O
的 O O
拍 O O
摄 O O
过 O O
程 O O
里 O O
都 O O
曾 O O
经 O O
出 O O
现 O O
过 O O
， O O
包 O O
括 O O
前 O O
不 O O
久 O O
的 O O
最 O O
新 O O
一 O O
集 O O
[UNK] O B-mov
0 B-mov I-mov
0 I-mov I-mov
7 I-mov I-mov
铁 I-mov I-mov
金 I-mov I-mov
刚 I-mov I-mov
[UNK] I-mov I-mov
， O O


raw: 《电子竞技》杂志pgl第四季增刊上市
sen pred gold
《 B-boo B-boo
电 I-boo I-boo
子 I-boo I-boo
竞 I-boo I-boo
技 I-boo I-boo
》 I-boo I-boo
杂 O O
志 O O
p B-boo O
g I-boo O
l I-boo O
第 O O
四 O O
季 O O
增 O O
刊 O O
上 O O
市 O O


raw: 维拉公园的优势较大。博彩公司的平均赔率1.613.515.61无疑是对维拉青睐有加，
sen pred gold
维 B-sce B-add
拉 I-sce I-add
公 I-sce I-add
园 I-sce I-add
的 O O
优 O O
势 O O
较 O O
大 O O
。 O O
博 B-com O
彩 I-com O
公 I-com O
司 I-com O
的 O O
平 O O
均 O O
赔 O O
率 O O
1 O O
. O O
6 O O
1 O O
3 O O
. O O
5 O O
1 O O
5 O O
. O O
6 O O
1 O O
无 O O
疑 O O
是 O O
对 O O
维 B-sce B-org
拉 I-sce I-org
青 O O
睐 O O
有 O O
加 O O
， O O


raw: 王朗自然保护区从一开始就选择的小众的生态旅游方式对外开放，保护区内有大熊猫、白唇鹿、
sen pred gold
王 B-sce B-add
朗 I-sce I-add
自 I-sce I-add
然 I-sce I-add
保 I-sce I-add
护 I-sce I-add
区 I-sce I-add
从 O O
一 O O
开 O O
始 O O
就 O O
选 O O
择 O O
的 O O
小 O O
众 O O
的 O O
生 O O
态 O O
旅 O O
游 O O
方 O O
式 O O
对 O O
外 O O
开 O O
放 O O
， O O
保 O O
护 O O
区 O O
内 O O
有 O O
大 O O
熊 O O
猫 O O
、 O O
白 O O
唇 O O
鹿 O O
、 O O


raw: 马老师为什么不打高端局?#LOL#你精力跟不上皮皮虾291585空白757210同步不?#
sen pred gold
马 O O
老 B-pos B-pos
师 I-pos I-pos
为 O O
什 O O
么 O O
不 O O
打 O O
高 O O
端 O O
局 O O
? O O
# O O
l O B-gam
o O I-gam
l O I-gam
# O O
你 O O
精 O O
力 O O
跟 O O
不 O O
上 O O
皮 O O
皮 O O
虾 O O
2 O O
9 O O
1 O O
5 O O
8 O O
5 O O
空 O O
白 O O
7 O O
5 O O
7 O O
2 O O
1 O O
0 O O
同 O O
步 O O
不 O O
? O O
# O O


raw: 关于鲁迅及其著作》，这同时也是国内第一本评价鲁迅先生的书籍。“我从24岁起就迷上了鲁迅，
sen pred gold
关 B-boo O
于 I-boo O
鲁 I-boo B-nam
迅 I-boo I-nam
及 I-boo O
其 I-boo O
著 I-boo O
作 I-boo O
》 I-boo O
， O O
这 O O
同 O O
时 O O
也 O O
是 O O
国 O O
内 O O
第 O O
一 O O
本 O O
评 O O
价 O O
鲁 B-nam B-nam
迅 I-nam I-nam
先 O O
生 O O
的 O O
书 O O
籍 O O
。 O O
[UNK] O O
我 O O
从 O O
2 O O
4 O O
岁 O O
起 O O
就 O O
迷 O O
上 O O
了 O O
鲁 B-nam B-nam
迅 I-nam I-nam
， O O


raw: 主持人：这样高水准的国际会议，我们也知道很多媒体都会争着来报道它。对于中国房地产协会，
sen pred gold
主 B-pos B-pos
持 I-pos I-pos
人 I-pos I-pos
： O O
这 O O
样 O O
高 O O
水 O O
准 O O
的 O O
国 O O
际 O O
会 O O
议 O O
， O O
我 O O
们 O O
也 O O
知 O O
道 O O
很 O O
多 O O
媒 O O
体 O O
都 O O
会 O O
争 O O
着 O O
来 O O
报 O O
道 O O
它 O O
。 O O
对 O O
于 O O
中 B-org B-gov
国 I-org I-gov
房 I-org I-gov
地 I-org I-gov
产 I-org I-gov
协 I-org I-gov
会 I-org I-gov
， O O


raw: 金色琴弦》的柚木梓马）；首要男主角设乐优的诠释人斋贺みつき（《梦幻奇缘2》的尤尼希思）
sen pred gold
金 B-mov B-mov
色 I-mov I-mov
琴 I-mov I-mov
弦 I-mov I-mov
》 I-mov I-mov
的 O O
柚 B-nam B-nam
木 I-nam I-nam
梓 I-nam I-nam
马 I-nam I-nam
） O O
； O O
首 O O
要 O O
男 O O
主 O O
角 O O
设 B-nam O
乐 I-nam O
优 I-nam O
的 O O
诠 O O
释 O O
人 O O
斋 B-nam B-nam
贺 I-nam I-nam
み I-nam I-nam
つ I-nam I-nam
き I-nam I-nam
（ O O
《 B-mov B-mov
梦 I-mov I-mov
幻 I-mov I-mov
奇 I-mov I-mov
缘 I-mov I-mov
2 I-mov I-mov
》 I-mov I-mov
的 O O
尤 B-nam B-nam
尼 I-nam I-nam
希 I-nam I-nam
思 I-nam I-nam
） O O


raw: 平手初盘下，本赛季3场德甲都是客队获胜，足彩0不可少。bwin早早降低了主胜赔，同赔率下，
sen pred gold
平 O O
手 O O
初 O O
盘 O O
下 O O
， O O
本 O O
赛 O O
季 O O
3 O O
场 O O
德 B-org B-org
甲 I-org I-org
都 O O
是 O O
客 O O
队 O O
获 O O
胜 O O
， O O
足 O B-org
彩 O I-org
0 O O
不 O O
可 O O
少 O O
。 O O
b B-com B-com
w I-com I-com
i I-com I-com
n I-com I-com
早 O O
早 O O
降 O O
低 O O
了 O O
主 O O
胜 O O
赔 O O
， O O
同 O O
赔 O O
率 O O
下 O O
， O O


raw: 微软公司不久前曾在宣布将在结束《光环战争》的开发后，关闭开发小组Ensemble
sen pred gold
微 B-com B-com
软 I-com I-com
公 I-com I-com
司 I-com I-com
不 O O
久 O O
前 O O
曾 O O
在 O O
宣 O O
布 O O
将 O O
在 O O
结 O O
束 O O
《 B-gam B-gam
光 I-gam I-gam
环 I-gam I-gam
战 I-gam I-gam
争 I-gam I-gam
》 I-gam I-gam
的 O O
开 O O
发 O O
后 O O
， O O
关 O O
闭 O O
开 O O
发 O O
小 O O
组 O O
e O B-com
n O I-com
s O I-com
e O I-com
m O I-com
b O I-com
l O I-com
e O I-com


raw: 这块我们自己也很好奇，这个问题问的很好，到底能够接受的速度跟持久性是什么样的，我现在就住在moma，
sen pred gold
这 O O
块 O O
我 O O
们 O O
自 O O
己 O O
也 O O
很 O O
好 O O
奇 O O
， O O
这 O O
个 O O
问 O O
题 O O
问 O O
的 O O
很 O O
好 O O
， O O
到 O O
底 O O
能 O O
够 O O
接 O O
受 O O
的 O O
速 O O
度 O O
跟 O O
持 O O
久 O O
性 O O
是 O O
什 O O
么 O O
样 O O
的 O O
， O O
我 O O
现 O O
在 O O
就 O O
住 O O
在 O O
m B-add B-sce
o I-add I-sce
m I-add I-sce
a I-add I-sce
， O O


raw: DptA在冰蛙接手后开始走向辉煌，期间他对DOTA的改动无数，根本无法细数，
sen pred gold
d B-gam O
p I-gam O
t I-gam O
a I-gam O
在 O O
冰 B-nam B-nam
蛙 I-nam I-nam
接 O O
手 O O
后 O O
开 O O
始 O O
走 O O
向 O O
辉 O O
煌 O O
， O O
期 O O
间 O O
他 O O
对 O O
d B-gam B-gam
o I-gam I-gam
t I-gam I-gam
a I-gam I-gam
的 O O
改 O O
动 O O
无 O O
数 O O
， O O
根 O O
本 O O
无 O O
法 O O
细 O O
数 O O
， O O


raw: 你根本没有挑别人的权利，现在就改变了，现在变成画廊太多了，艺术家更多，变成画廊不珍惜艺术家，
sen pred gold
你 O O
根 O O
本 O O
没 O O
有 O O
挑 O O
别 O O
人 O O
的 O O
权 O O
利 O O
， O O
现 O O
在 O O
就 O O
改 O O
变 O O
了 O O
， O O
现 O O
在 O O
变 O O
成 O O
画 O O
廊 O O
太 O O
多 O O
了 O O
， O O
艺 B-pos B-pos
术 I-pos I-pos
家 I-pos I-pos
更 O O
多 O O
， O O
变 O O
成 O O
画 O O
廊 O O
不 O O
珍 O O
惜 O O
艺 B-pos O
术 I-pos O
家 I-pos O
， O O


raw: 而Scrabulous开发者本身则并未采取行动。
sen pred gold
而 O O
s B-gam B-com
c I-gam I-com
r I-gam I-com
a I-gam I-com
b I-gam I-com
u I-gam I-com
l I-gam I-com
o I-gam I-com
u I-gam I-com
s I-gam I-com
开 O I-com
发 O I-com
者 O I-com
本 O O
身 O O
则 O O
并 O O
未 O O
采 O O
取 O O
行 O O
动 O O
。 O O


raw: ReMinD暴冷在八强不敌Hawk，而已经转星际2的哈撒克斯坦人族
sen pred gold
r B-org O
e I-org O
m I-org O
i I-org O
n I-org O
d I-org O
暴 O O
冷 O O
在 O O
八 O O
强 O O
不 O O
敌 O O
h B-org O
a I-org O
w I-org O
k I-org O
， O O
而 O O
已 O O
经 O O
转 O O
星 B-gam B-gam
际 I-gam I-gam
2 I-gam I-gam
的 O O
哈 O O
撒 O O
克 O O
斯 O O
坦 O O
人 O O
族 O O


raw: 《救赎之路》媒体综评46分（yahoo方面为c、烂番茄网站新鲜度38%），充分证明凭《卢旺达旅店》
sen pred gold
《 B-mov B-gam
救 I-mov I-gam
赎 I-mov I-gam
之 I-mov I-gam
路 I-mov I-gam
》 I-mov I-gam
媒 O O
体 O O
综 O O
评 O O
4 O O
6 O O
分 O O
（ O O
y B-com B-com
a I-com I-com
h I-com I-com
o I-com I-com
o I-com I-com
方 O O
面 O O
为 O O
c O O
、 O O
烂 B-com B-com
番 I-com I-com
茄 I-com I-com
网 O I-com
站 O I-com
新 O O
鲜 O O
度 O O
3 O O
8 O O
% O O
） O O
， O O
充 O O
分 O O
证 O O
明 O O
凭 O O
《 B-mov B-mov
卢 I-mov I-mov
旺 I-mov I-mov
达 I-mov I-mov
旅 I-mov I-mov
店 I-mov I-mov
》 I-mov I-mov


raw: 区信访办的负责同志及区人大代表、区政协委员、社会两员和申请家庭共同参与，公证部门进行了全程公证。
sen pred gold
区 B-gov B-org
信 I-gov I-org
访 I-gov I-org
办 I-gov I-org
的 O O
负 O O
责 O O
同 O O
志 O O
及 O O
区 B-gov B-pos
人 I-gov I-pos
大 I-gov I-pos
代 B-pos I-pos
表 I-pos I-pos
、 O O
区 B-gov B-pos
政 I-gov I-pos
协 I-gov I-pos
委 B-pos I-pos
员 I-pos I-pos
、 O O
社 O O
会 O O
两 O O
员 O O
和 O O
申 O O
请 O O
家 O O
庭 O O
共 O O
同 O O
参 O O
与 O O
， O O
公 B-gov O
证 I-gov O
部 I-gov O
门 I-gov O
进 O O
行 O O
了 O O
全 O O
程 O O
公 O O
证 O O
。 O O


raw: 上海经贸学院）已经提交资料，包括首批未提交的校方评估资料。教育评估院已经开始审核第二批学校资质，
sen pred gold
上 B-org B-org
海 I-org I-org
经 I-org I-org
贸 I-org I-org
学 I-org I-org
院 I-org I-org
） O O
已 O O
经 O O
提 O O
交 O O
资 O O
料 O O
， O O
包 O O
括 O O
首 O O
批 O O
未 O O
提 O O
交 O O
的 O O
校 O O
方 O O
评 O O
估 O O
资 O O
料 O O
。 O O
教 B-gov B-org
育 I-gov I-org
评 I-gov I-org
估 I-gov I-org
院 I-gov I-org
已 O O
经 O O
开 O O
始 O O
审 O O
核 O O
第 O O
二 O O
批 O O
学 O O
校 O O
资 O O
质 O O
， O O


raw: 早报记者朱楠实习生王昭
sen pred gold
早 B-boo O
报 I-boo O
记 B-pos B-pos
者 I-pos I-pos
朱 B-nam B-nam
楠 I-nam I-nam
实 B-pos B-pos
习 I-pos I-pos
生 I-pos I-pos
王 B-nam B-nam
昭 I-nam I-nam


raw: 2003年10月，中共中央政治局常委李长春，视察河南博物馆时，停在“张衡地动仪”的面前。他很是疑惑，
sen pred gold
2 O O
0 O O
0 O O
3 O O
年 O O
1 O O
0 O O
月 O O
， O O
中 B-gov B-pos
共 I-gov I-pos
中 I-gov I-pos
央 I-gov I-pos
政 I-gov I-pos
治 I-gov I-pos
局 I-gov I-pos
常 B-pos I-pos
委 I-pos I-pos
李 B-nam B-nam
长 I-nam I-nam
春 I-nam I-nam
， O O
视 O O
察 O O
河 B-sce B-add
南 I-sce I-add
博 I-sce I-add
物 I-sce I-add
馆 I-sce I-add
时 O O
， O O
停 O O
在 O O
[UNK] O O
张 B-nam O
衡 I-nam O
地 O O
动 O O
仪 O O
[UNK] O O
的 O O
面 O O
前 O O
。 O O
他 O O
很 O O
是 O O
疑 O O
惑 O O
， O O


raw: 澳门博物馆等非常多的旅游景点和水坑尾购物一条街。
sen pred gold
澳 B-sce B-sce
门 I-sce I-sce
博 I-sce I-sce
物 I-sce I-sce
馆 I-sce I-sce
等 O O
非 O O
常 O O
多 O O
的 O O
旅 O O
游 O O
景 O O
点 O O
和 O O
水 O B-add
坑 O I-add
尾 O I-add
购 O I-add
物 O I-add
一 O I-add
条 O I-add
街 O I-add
。 O O


raw: 发言人表示，德国北部的一名收藏家买下了这半枚保存良好的邮票。邮票最初来源地是德国北部城镇syke。
sen pred gold
发 O O
言 O O
人 O O
表 O O
示 O O
， O O
德 B-add B-add
国 I-add I-add
北 I-add I-add
部 I-add I-add
的 O O
一 O O
名 O O
收 B-pos B-pos
藏 I-pos I-pos
家 I-pos I-pos
买 O O
下 O O
了 O O
这 O O
半 O O
枚 O O
保 O O
存 O O
良 O O
好 O O
的 O O
邮 O O
票 O O
。 O O
邮 O O
票 O O
最 O O
初 O O
来 O O
源 O O
地 O O
是 O O
德 B-add B-add
国 I-add I-add
北 I-add I-add
部 I-add I-add
城 I-add I-add
镇 I-add I-add
s B-add I-add
y I-add I-add
k I-add I-add
e I-add I-add
。 O O


raw: 开始阅读抗日之铁血兵魂作者痴冬书亦来源阅文集团军事战争幻想谍战特工穿越完结约291万字0.
sen pred gold
开 O O
始 O O
阅 O O
读 O O
抗 B-boo B-boo
日 I-boo I-boo
之 I-boo I-boo
铁 I-boo I-boo
血 I-boo I-boo
兵 I-boo I-boo
魂 I-boo I-boo
作 O B-pos
者 O I-pos
痴 B-nam B-nam
冬 I-nam I-nam
书 O I-nam
亦 O I-nam
来 O O
源 O O
阅 B-com B-com
文 I-com I-com
集 I-com I-com
团 I-com I-com
军 B-boo O
事 I-boo O
战 I-boo O
争 I-boo O
幻 I-boo O
想 I-boo O
谍 B-boo O
战 I-boo O
特 I-boo B-pos
工 I-boo I-pos
穿 I-boo O
越 I-boo O
完 O O
结 O O
约 O O
2 O O
9 O O
1 O O
万 O O
字 O O
0 O O
. O O


raw: 阿凡达
sen pred gold
阿 B-gam B-mov
凡 I-gam I-mov
达 I-gam I-mov


raw: 5家国有银行中只有交通银行暂时不收这笔费用，其余银行每年都收取12元。中国银行还特别规定，
sen pred gold
5 O O
家 O O
国 O B-com
有 O I-com
银 O I-com
行 O I-com
中 O O
只 O O
有 O O
交 B-com B-com
通 I-com I-com
银 I-com I-com
行 I-com I-com
暂 O O
时 O O
不 O O
收 O O
这 O O
笔 O O
费 O O
用 O O
， O O
其 O O
余 O O
银 O O
行 O O
每 O O
年 O O
都 O O
收 O O
取 O O
1 O O
2 O O
元 O O
。 O O
中 B-com B-com
国 I-com I-com
银 I-com I-com
行 I-com I-com
还 O O
特 O O
别 O O
规 O O
定 O O
， O O


raw: 昨天，该事件有了最新进展，“上海经贸学院”的注册管理部门虹口区教育局宣布，这一事件定性为“
sen pred gold
昨 O O
天 O O
， O O
该 O O
事 O O
件 O O
有 O O
了 O O
最 O O
新 O O
进 O O
展 O O
， O O
[UNK] B-org O
上 I-org B-org
海 I-org I-org
经 I-org I-org
贸 I-org I-org
学 I-org I-org
院 I-org I-org
[UNK] I-org O
的 O O
注 O O
册 O O
管 O O
理 O O
部 O O
门 O O
虹 B-gov B-gov
口 I-gov I-gov
区 I-gov I-gov
教 I-gov I-gov
育 I-gov I-gov
局 I-gov I-gov
宣 O O
布 O O
， O O
这 O O
一 O O
事 O O
件 O O
定 O O
性 O O
为 O O
[UNK] O O


raw: 昨日下午，陕西省安康市旬阳县人民法院办公室王主任向记者透露，周正龙案开庭审理的公告已经向社会公布，
sen pred gold
昨 O O
日 O O
下 O O
午 O O
， O O
陕 B-gov B-gov
西 I-gov I-gov
省 I-gov I-gov
安 I-gov I-gov
康 I-gov I-gov
市 I-gov I-gov
旬 I-gov I-gov
阳 I-gov I-gov
县 I-gov I-gov
人 I-gov I-gov
民 I-gov I-gov
法 I-gov I-gov
院 I-gov I-gov
办 I-gov I-gov
公 O I-gov
室 O I-gov
王 O O
主 B-pos B-pos
任 I-pos I-pos
向 O O
记 B-pos B-pos
者 I-pos I-pos
透 O O
露 O O
， O O
周 B-nam B-nam
正 I-nam I-nam
龙 I-nam I-nam
案 O O
开 O O
庭 O O
审 O O
理 O O
的 O O
公 O O
告 O O
已 O O
经 O O
向 O O
社 O O
会 O O
公 O O
布 O O
， O O


raw: 杂志社和新浪网联合主办，新浪乐居承办，《中国摄影报》协办的我的城市我的家”全国摄影大展活动启幕。
sen pred gold
杂 B-org O
志 I-org O
社 I-org O
和 O O
新 B-com B-com
浪 I-com I-com
网 I-com I-com
联 O I-com
合 O O
主 O O
办 O O
， O O
新 B-com B-com
浪 I-com I-com
乐 I-com I-com
居 I-com I-com
承 O O
办 O O
， O O
《 B-boo B-boo
中 I-boo I-boo
国 I-boo I-boo
摄 I-boo I-boo
影 I-boo I-boo
报 I-boo I-boo
》 I-boo I-boo
协 O O
办 O O
的 O O
我 O O
的 O O
城 O O
市 O O
我 O O
的 O O
家 O O
[UNK] O O
全 O O
国 O O
摄 O O
影 O O
大 O O
展 O O
活 O O
动 O O
启 O O
幕 O O
。 O O


raw: 武汉市国土资源和房产管理局官方网站公示的武昌区余家头小区三期b座申购房型确定名单，
sen pred gold
武 B-gov B-gov
汉 I-gov I-gov
市 I-gov I-gov
国 I-gov I-gov
土 I-gov I-gov
资 I-gov I-gov
源 I-gov I-gov
和 I-gov O
房 I-gov B-gov
产 I-gov I-gov
管 I-gov I-gov
理 I-gov I-gov
局 I-gov I-gov
官 O O
方 O O
网 O O
站 O O
公 O O
示 O O
的 O O
武 B-add B-add
昌 I-add I-add
区 I-add I-add
余 I-add I-add
家 I-add I-add
头 I-add I-add
小 I-add I-add
区 I-add I-add
三 I-add I-add
期 I-add I-add
b I-add I-add
座 I-add I-add
申 O O
购 O O
房 O O
型 O O
确 O O
定 O O
名 O O
单 O O
， O O


raw: 但最后在办公室的交战中，太阳神还是全军覆没，橘子熊不但以7：4拿下SF的胜利，
sen pred gold
但 O O
最 O O
后 O O
在 O O
办 O B-add
公 O I-add
室 O I-add
的 O O
交 O O
战 O O
中 O O
， O O
太 B-org B-org
阳 I-org I-org
神 I-org I-org
还 O O
是 O O
全 O O
军 O O
覆 O O
没 O O
， O O
橘 B-org B-org
子 I-org I-org
熊 I-org I-org
不 O O
但 O O
以 O O
7 O O
： O O
4 O O
拿 O O
下 O O
s B-gam O
f I-gam O
的 O O
胜 O O
利 O O
， O O


raw: 终于到了《黑暗物质：黄金罗盘》（thegoldencompass）的首映周，也许是因为涉嫌“
sen pred gold
终 O O
于 O O
到 O O
了 O O
《 B-mov B-mov
黑 I-mov I-mov
暗 I-mov I-mov
物 I-mov I-mov
质 I-mov I-mov
： I-mov I-mov
黄 I-mov I-mov
金 I-mov I-mov
罗 I-mov I-mov
盘 I-mov I-mov
》 I-mov I-mov
（ O B-mov
t B-mov I-mov
h I-mov I-mov
e I-mov I-mov
g I-mov I-mov
o I-mov I-mov
l I-mov I-mov
d I-mov I-mov
e I-mov I-mov
n I-mov I-mov
c I-mov I-mov
o I-mov I-mov
m I-mov I-mov
p I-mov I-mov
a I-mov I-mov
s I-mov I-mov
s I-mov I-mov
） O I-mov
的 O O
首 O O
映 O O
周 O O
， O O
也 O O
许 O O
是 O O
因 O O
为 O O
涉 O O
嫌 O O
[UNK] O O


raw: 影片上映后大获成功，斯图尔特塑造的慈祥刚毅的老年女性形象征服了观众，获得奥斯卡最佳女配角奖提名，
sen pred gold
影 O O
片 O O
上 O O
映 O O
后 O O
大 O O
获 O O
成 O O
功 O O
， O O
斯 B-nam B-nam
图 I-nam I-nam
尔 I-nam I-nam
特 I-nam I-nam
塑 O O
造 O O
的 O O
慈 O O
祥 O O
刚 O O
毅 O O
的 O O
老 O O
年 O O
女 O O
性 O O
形 O O
象 O O
征 O O
服 O O
了 O O
观 O O
众 O O
， O O
获 O O
得 O O
奥 B-org O
斯 I-org O
卡 I-org O
最 O O
佳 O O
女 O O
配 O O
角 O O
奖 O O
提 O O
名 O O
， O O


raw: ECL的事情，并且也谈了对于转型星际争霸2的情况，本文为上篇。
sen pred gold
e B-nam B-org
c I-nam I-org
l I-nam I-org
的 O O
事 O O
情 O O
， O O
并 O O
且 O O
也 O O
谈 O O
了 O O
对 O O
于 O O
转 O O
型 O O
星 B-gam B-gam
际 I-gam I-gam
争 I-gam I-gam
霸 I-gam I-gam
2 I-gam I-gam
的 O O
情 O O
况 O O
， O O
本 O O
文 O O
为 O O
上 O O
篇 O O
。 O O


raw: 将参与制作，剧本则请到了《超人归来》(SupermanReturns)和《X战警2》(
sen pred gold
将 O O
参 O O
与 O O
制 O O
作 O O
， O O
剧 O O
本 O O
则 O O
请 O O
到 O O
了 O O
《 B-mov B-mov
超 I-mov I-mov
人 I-mov I-mov
归 I-mov I-mov
来 I-mov I-mov
》 I-mov I-mov
( O I-mov
s B-mov I-mov
u I-mov I-mov
p I-mov I-mov
e I-mov I-mov
r I-mov I-mov
m I-mov I-mov
a I-mov I-mov
n I-mov I-mov
r I-mov I-mov
e I-mov I-mov
t I-mov I-mov
u I-mov I-mov
r I-mov I-mov
n I-mov I-mov
s I-mov I-mov
) O I-mov
和 O O
《 B-mov B-mov
x I-mov I-mov
战 I-mov I-mov
警 I-mov I-mov
2 I-mov I-mov
》 I-mov I-mov
( O I-mov


raw: 曾将惊奇公司旗下漫画《蜘蛛侠》系列和《X战警》《绿巨人》
sen pred gold
曾 O O
将 O O
惊 B-com B-com
奇 I-com I-com
公 I-com I-com
司 I-com I-com
旗 O O
下 O O
漫 O O
画 O O
《 B-mov B-boo
蜘 I-mov I-boo
蛛 I-mov I-boo
侠 I-mov I-boo
》 I-mov I-boo
系 O O
列 O O
和 O O
《 B-mov B-boo
x I-mov I-boo
战 I-mov I-boo
警 I-mov I-boo
》 I-mov I-boo
《 B-mov B-boo
绿 I-mov I-boo
巨 I-mov I-boo
人 I-mov I-boo
》 I-mov I-boo


raw: 联盟杯积分榜：四支球队已出线热刺维拉形势大好
sen pred gold
联 B-org O
盟 I-org O
杯 I-org O
积 O O
分 O O
榜 O O
： O O
四 O O
支 O O
球 O O
队 O O
已 O O
出 O O
线 O O
热 B-org B-org
刺 I-org I-org
维 B-org B-org
拉 I-org I-org
形 O O
势 O O
大 O O
好 O O


raw: 更需要后天的学习与修养。因此，一个收藏者要成为收藏家，要在文物与艺术品市场如鱼得水，
sen pred gold
更 O O
需 O O
要 O O
